explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	all	50-64	682171	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	all	65+	682173	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	all	Don't know/Refused	682175	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	all	all	682177	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	15-29	682179	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	30-49	682181	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	50-64	682183	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	65+	682185	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	Don't know/Refused	682187	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	female	all	682189	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	15-29	682191	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	30-49	682194	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	50-64	682195	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	65+	682197	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	Don't know/Refused	682199	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not at all	male	all	682201	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	15-29	682203	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	30-49	682205	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	50-64	682207	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	65+	682209	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	Don't know/Refused	682211	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	all	all	682213	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	15-29	682215	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	30-49	682217	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	50-64	682219	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	65+	682221	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	Don't know/Refused	682222	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	female	all	682225	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	15-29	682227	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	30-49	682229	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	50-64	682231	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	65+	682233	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	Don't know/Refused	682235	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Not much	male	all	682237	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	15-29	682239	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	30-49	682241	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	50-64	682243	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	65+	682245	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	Don't know/Refused	682247	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	all	all	682249	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	15-29	682251	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	30-49	682253	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	50-64	682255	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	65+	682257	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	Don't know/Refused	682259	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	female	all	682261	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	15-29	682263	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	30-49	682265	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	50-64	682267	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	65+	682269	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	Don't know/Refused	682271	true
	w15_1c - Based decisions about coronavirus on scientific advice from the WHO	Some	male	all	682273	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	15-29	682275	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	30-49	682277	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	50-64	682279	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	65+	682280	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	Don't know/Refused	682283	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	all	all	682285	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	15-29	682287	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	30-49	682289	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	50-64	682291	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	65+	682293	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	Don't know/Refused	682295	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	female	all	682297	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	15-29	682299	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	30-49	682301	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	50-64	682303	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	65+	682305	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	Don't know/Refused	682307	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	A lot	male	all	682309	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	15-29	682311	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	30-49	682313	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	50-64	682315	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	65+	682317	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	Don't know/Refused	682319	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	all	all	682321	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	15-29	682322	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	30-49	682325	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	50-64	682327	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	65+	682329	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	Don't know/Refused	682331	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	female	all	682333	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	15-29	682335	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	30-49	682337	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	50-64	682339	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	65+	682341	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	Don't know/Refused	682343	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Don't know/Refused	male	all	682345	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	15-29	682347	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	30-49	682349	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	50-64	682351	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	65+	682354	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	Don't know/Refused	682355	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	all	all	682357	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	15-29	682359	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	30-49	682360	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	50-64	682363	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	65+	682365	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	Don't know/Refused	682367	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	female	all	682369	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	15-29	682371	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	30-49	682372	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	50-64	682375	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	65+	682377	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	Don't know/Refused	682380	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	15-29	682381	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not at all	male	all	682382	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	30-49	682385	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	50-64	682388	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	65+	682389	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	Don't know/Refused	682391	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	all	all	682393	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	15-29	682395	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	30-49	682397	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	50-64	682399	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	65+	682401	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	Don't know/Refused	682403	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	female	all	682405	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	15-29	682407	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	30-49	682409	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	50-64	682411	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	65+	682413	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	Don't know/Refused	682415	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Not much	male	all	682418	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	15-29	682419	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	30-49	682421	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	50-64	682423	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	65+	682425	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	Don't know/Refused	682427	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	all	all	682429	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	15-29	682431	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	30-49	682432	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	50-64	682435	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	65+	682437	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	Don't know/Refused	682439	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	female	all	682441	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	15-29	682443	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	30-49	682445	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	50-64	682447	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	65+	682449	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	Don't know/Refused	682452	true
	w15_1d - Based decisions about coronavirus on scientific advice from doctors and nurses in your country	Some	male	all	682453	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	15-29	682455	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	30-49	682457	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	50-64	682458	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	65+	682461	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	Don't know/Refused	682463	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	all	all	682465	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	15-29	682466	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	30-49	682469	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	50-64	682471	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	65+	682473	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	Don't know/Refused	682476	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	female	all	682477	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	15-29	682479	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	30-49	682481	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	50-64	682483	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	65+	682485	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	Don't know/Refused	682487	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	A lot	male	all	682489	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	15-29	682491	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	30-49	682493	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	50-64	682495	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	65+	682497	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	Don't know/Refused	682499	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	all	all	682501	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	15-29	682503	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	30-49	682505	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	50-64	682507	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	65+	682508	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	Don't know/Refused	682511	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	female	all	682514	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	15-29	682516	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	30-49	682517	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	50-64	682519	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	65+	682521	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	Don't know/Refused	682522	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Don't know/Refused	male	all	682525	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	15-29	682527	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	30-49	682529	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	50-64	682531	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	65+	682533	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	Don't know/Refused	682535	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	all	all	682537	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	15-29	682539	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	30-49	682542	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	50-64	682543	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	65+	682545	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	Don't know/Refused	682546	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	female	all	682549	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	15-29	682551	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	30-49	682553	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	50-64	682555	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	65+	682557	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	Don't know/Refused	682560	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not at all	male	all	682561	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	15-29	682562	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	30-49	682566	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	50-64	682567	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	65+	682569	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	Don't know/Refused	682571	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	all	all	682573	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	15-29	682575	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	30-49	682577	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	50-64	682579	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	65+	682581	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	Don't know/Refused	682583	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	female	all	682585	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	15-29	682587	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	30-49	682589	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	50-64	682591	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	65+	682593	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	Don't know/Refused	682595	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Not much	male	all	682597	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	15-29	682599	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	30-49	682601	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	50-64	682603	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	65+	682605	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	Don't know/Refused	682607	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	all	all	682608	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	15-29	682611	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	30-49	682613	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	50-64	682614	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	65+	682617	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	Don't know/Refused	682619	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	female	all	682621	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	15-29	682623	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	30-49	682625	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	50-64	682627	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	65+	682629	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	Don't know/Refused	682631	true
	w15_1e - Based decisions about coronavirus on scientific advice from religious leaders	Some	male	all	682632	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	15-29	682635	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	30-49	682637	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	50-64	682639	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	65+	682641	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	Don't know/Refused	682643	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	all	all	682645	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	15-29	682646	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	30-49	682648	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	50-64	682651	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	65+	682653	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	Don't know/Refused	682656	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	female	all	682657	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	15-29	682659	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	30-49	682661	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	50-64	682663	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	65+	682665	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	Don't know/Refused	682667	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Don't know/Refused	male	all	682669	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	15-29	682671	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	30-49	682673	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	50-64	682675	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	65+	682677	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	Don't know/Refused	682679	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	all	all	682681	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	15-29	682683	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	30-49	682684	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	50-64	682687	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	65+	682689	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	Don't know/Refused	682691	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	female	all	682693	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	15-29	682695	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	30-49	682696	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	50-64	682699	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	65+	682701	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	Don't know/Refused	682703	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat agree	male	all	682705	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	15-29	682707	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	30-49	682709	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	50-64	682711	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	65+	682713	true
